Tag,Group,Synonym,Exclude
sleeved,Attribute,,
flared,Attribute,,
animal,Attribute,,
stitch,Attribute,,
buffalo,Attribute,,
uniform,Attribute,,
boot,Attribute,,
reversible,Attribute,,
micro,Attribute,,
square,Attribute,,
originals,Attribute,,
seamed,Attribute,,
star,Attribute,,
muscle,Attribute,,
virgin,Attribute,,
checked,Attribute,,
rib,Attribute,,
perfect,Attribute,,
curvy,Attribute,,
board,Attribute,,
boatneck,Attribute,,
bow,attribute,,
ultimate,attribute,,
scuba,attribute,,
trench,attribute,,
pinstripe,attribute,,
scoopneck,attribute,,
twist,attribute,,
houndstooth,attribute,,
rose,attribute,,
coated,attribute,,
daisy,attribute,,
patterned,attribute,,
studded,attribute,,
keyhole,attribute,,
khaki,attribute,,
circle,Attribute,,
combo,attribute,,
compression,attribute,,
cocktail,attribute,,
colorblocked,attribute,,
cutoff,Attribute,,
crinkle,attribute,,
cape,attribute,,
khakis,attribute,,
knee,attribute,,
matte,attribute,,
microfiber,attribute,,
